요구사항 ID,원본 ID,요구사항명,우선순위,출처,Task ID,시스템,행위자,처리 내용,기획안,기능 ID,화면 ID,플로우,스토리보드,프로토타입,상태,확인,CR,비고
SFR-001,SFR-001,민원인 회원가입 및 로그인,MUST,SRC-001 SFR-001 민원인 회원가입 및 로그인,SFR-001-T01,CVL,민원인,회원가입(본인인증),PS-01,FN-CVL-001,CVL_MEM_JOIN_010,,,,설계중,,,
SFR-001,SFR-001,민원인 회원가입 및 로그인,MUST,SRC-001 SFR-001 민원인 회원가입 및 로그인,SFR-001-T02,CVL,민원인,로그인,PS-01,FN-CVL-001,CVL_MEM_LOGIN_010,,,,설계중,,,
SFR-002,SFR-002,대국민 정보공개,MUST,"SRC-001 SFR-002 대국민 정보공개, SRC-002 문단 3",SFR-002-T01,CVL,민원인,자료 등록 및 공개 신청,"PS-01, PS-05",FN-CVL-021,CVL_INF_REG_010,PF-01/n2,CVL_INF_REG_010,,검토완료,기획 리드 (2026-09-25),,
SFR-002,SFR-002,대국민 정보공개,MUST,"SRC-001 SFR-002 대국민 정보공개, SRC-002 문단 3",SFR-002-T02,ADM,심사자,신청 목록 조회 및 내용 검토,PS-01,FN-ADM-033,ADM_INF_REV_010,PF-01/n3,ADM_INF_REV_010,,설계완료,,,
SFR-002,SFR-002,대국민 정보공개,MUST,"SRC-001 SFR-002 대국민 정보공개, SRC-002 문단 3",SFR-002-T03,ADM,심사자,승인 또는 반려(사유 입력),"PS-01, PS-05",FN-ADM-033,ADM_INF_REV_010_P01,PF-01/n4,,,설계중,,,
SFR-002,SFR-002,대국민 정보공개,MUST,"SRC-001 SFR-002 대국민 정보공개, SRC-002 문단 3",SFR-002-T04,CVL,민원인,"처리 결과 확인, 반려 시 보완 후 재신청",PS-01,FN-CVL-022,CVL_INF_STS_010,PF-01/n5,CVL_INF_STS_010,,설계완료,,,
SFR-002,SFR-002,대국민 정보공개,MUST,"SRC-001 SFR-002 대국민 정보공개, SRC-002 문단 3",SFR-002-T05,PUB,국민,공개 목록·상세 조회,PS-01,FN-PUB-010,"PUB_INF_LST_010, PUB_INF_DTL_010",PF-01/n6,"PUB_INF_LST_010, PUB_INF_DTL_010",,설계완료,,,
SFR-002,SFR-002,대국민 정보공개,MUST,"SRC-001 SFR-002 대국민 정보공개, SRC-002 문단 3",SFR-002-T06,EXT,시스템,국가 정보공개 포털로 공개 자료 전송,PS-01,,(화면 없음),PF-01/n7,,,설계완료,,,
SFR-003,SFR-003,심사 이력 관리,MUST,SRC-001 SFR-003 심사 이력 관리,SFR-003-T01,ADM,심사자,자료별 심사 이력 조회,PS-01,,ADM_INF_HIS_010,,ADM_INF_HIS_010,,설계완료,,,
SFR-004,SFR-004,처리 결과 모바일 알림,SHOULD,SRC-001 SFR-004 처리 결과 모바일 알림,,,,(Task 미분해),,,,,,,미착수,,,
SFR-005,SFR-005,타 기관 자료 일괄 수집,COULD,SRC-001 SFR-005 타 기관 자료 일괄 수집,,,,(Task 미분해),,,,,,,제외,,,2차 사업 범위로 이관(착수보고 회의 결정)
SFR-006,SFR-006,정보공개 청구 신청,MUST,SRC-001 SFR-006 정보공개 청구 신청,SFR-006-T01,CVL,민원인,자료 작성·등록 및 신청,,,,,,,미착수,,,
SFR-006,SFR-006,정보공개 청구 신청,MUST,SRC-001 SFR-006 정보공개 청구 신청,SFR-006-T02,ADM,심사자,신청 목록 조회 및 내용 검토,,,,,,,미착수,,,
SFR-006,SFR-006,정보공개 청구 신청,MUST,SRC-001 SFR-006 정보공개 청구 신청,SFR-006-T03,ADM,심사자,승인 또는 반려(사유 입력),,,,,,,미착수,,,
SFR-006,SFR-006,정보공개 청구 신청,MUST,SRC-001 SFR-006 정보공개 청구 신청,SFR-006-T04,CVL,민원인,"처리 결과 확인, 반려 시 보완 후 재신청",,,,,,,미착수,,,
SFR-006,SFR-006,정보공개 청구 신청,MUST,SRC-001 SFR-006 정보공개 청구 신청,SFR-006-T05,PUB,일반 국민,공개 목록·상세 조회,,,,,,,미착수,,,
SFR-006,SFR-006,정보공개 청구 신청,MUST,SRC-001 SFR-006 정보공개 청구 신청,SFR-006-T06,CVL,시스템,처리 결과 알림 발송,,,(화면 없음),,,,미착수,,,
SFR-006,SFR-006,정보공개 청구 신청,MUST,SRC-001 SFR-006 정보공개 청구 신청,SFR-006-T07,EXT,시스템,외부 연계 전송,,,(화면 없음),,,,미착수,,,
